Time : 46:47.106, Frame: 5860.000, Current FPS : 29.673, Average FPS : 29.960, Total FPS : 44.550
Time : 46:47.626, Frame: 5876.000, Current FPS : 30.767, Average FPS : 30.041, Total FPS : 44.496
Time : 46:48.146, Frame: 5893.000, Current FPS : 32.691, Average FPS : 30.306, Total FPS : 44.450
Time : 46:48.651, Frame: 5908.000, Current FPS : 29.718, Average FPS : 30.247, Total FPS : 44.394
Time : 46:49.170, Frame: 5923.000, Current FPS : 28.875, Average FPS : 30.110, Total FPS : 44.334
Time : 46:49.690, Frame: 5940.000, Current FPS : 32.692, Average FPS : 30.368, Total FPS : 44.288
Time : 46:50.210, Frame: 5956.000, Current FPS : 30.768, Average FPS : 30.408, Total FPS : 44.236
Time : 46:50.715, Frame: 5973.000, Current FPS : 33.684, Average FPS : 30.736, Total FPS : 44.197
Time : 46:51.233, Frame: 5989.000, Current FPS : 30.874, Average FPS : 30.750, Total FPS : 44.146
Time : 46:51.753, Frame: 6005.000, Current FPS : 30.763, Average FPS : 30.751, Total FPS : 44.095
